Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2011,-,-,-,-,FRA,France,330
2011,-,-,-,-,PRY,Paraguay,26
2011,-,-,-,-,AUS,Australia,6692
2011,-,-,-,-,IRL,Ireland,38
2011,-,-,-,-,FIN,Finland,796
2011,-,-,-,-,KOR,Rep. of Korea,18
2011,-,-,-,-,DNK,Denmark,698
2011,-,-,-,-,ESP,Spain,88
2011,-,-,-,-,NLD,Netherlands,717
2011,-,-,-,-,CZE,Czechia,4
2011,-,-,-,-,NZL,New Zealand,870
2011,-,-,-,-,JPN,Japan,31
2011,-,-,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,939
2011,-,-,-,-,BEL,Belgium,23
2011,-,-,-,-,CAN,Canada,6407
2011,-,-,-,-,ARG,Argentina,47
2011,-,-,-,-,PRT,Portugal,28
2011,-,-,-,-,NOR,Norway,2010
2011,-,-,-,-,URY,Uruguay,56
2011,-,-,-,-,DEU,Germany,17
2011,-,-,-,-,USA,United States of America,69655
2011,-,-,-,-,CHE,Switzerland,102
2011,-,-,-,-,SWE,Sweden,2206
2011,-,-,-,-,BRA,Brazil,48
2012,-,-,-,-,IRL,Ireland,44
2012,-,-,-,-,JPN,Japan,27
2012,-,-,-,-,NZL,New Zealand,942
2012,-,-,-,-,CHE,Switzerland,18
2012,-,-,-,-,DEU,Germany,427
2012,-,-,-,-,USA,United States of America,50101
2012,-,-,-,-,ARG,Argentina,29
2012,-,-,-,-,HUN,Hungary,10
2012,-,-,-,-,SWE,Sweden,2045
2012,-,-,-,-,BRA,Brazil,63
2012,-,-,-,-,AUS,Australia,9988
2012,-,-,-,-,URY,Uruguay,21
2012,-,-,-,-,FIN,Finland,979
2012,-,-,-,-,PRY,Paraguay,18
2012,-,-,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,1236
2012,-,-,-,-,ISL,Iceland,25
2012,-,-,-,-,DNK,Denmark,588
2012,-,-,-,-,ITA,Italy,9
2012,-,-,-,-,PRT,Portugal,32
2012,-,-,-,-,CZE,Czechia,63
2012,-,-,-,-,FRA,France,139
2012,-,-,-,-,KOR,Rep. of Korea,12
2012,-,-,-,-,CAN,Canada,6226
2012,-,-,-,-,NLD,Netherlands,587
2012,-,-,-,-,ESP,Spain,22
2012,-,-,-,-,NOR,Norway,1189
2013,-,-,-,-,DEU,Germany,4775
2013,-,-,-,-,DNK,Denmark,548
2013,-,-,-,-,AUT,Austria,32
2013,-,-,-,-,IRL,Ireland,83
2013,-,-,-,-,LUX,Luxembourg,25
2013,-,-,-,-,NLD,Netherlands,1029
2013,-,-,-,-,HUN,Hungary,5
2013,-,-,-,-,USA,United States of America,59324
2013,-,-,-,-,BEL,Belgium,124
2013,-,-,-,-,CZE,Czechia,16
2013,-,-,-,-,AUS,Australia,10638
2013,-,-,-,-,ISL,Iceland,40
2013,-,-,-,-,PRT,Portugal,46
2013,-,-,-,-,SWE,Sweden,2456
2013,-,-,-,-,CHE,Switzerland,85
2013,-,-,-,-,KOR,Rep. of Korea,31
2013,-,-,-,-,CAN,Canada,9160
2013,-,-,-,-,BRA,Brazil,158
2013,-,-,-,-,JPN,Japan,69
2013,-,-,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,711
2013,-,-,-,-,NZL,New Zealand,894
2013,-,-,-,-,ROU,Romania,83
2013,-,-,-,-,FRA,France,385
2013,-,-,-,-,ARG,Argentina,42
2013,-,-,-,-,CHL,Chile,3
2013,-,-,-,-,FIN,Finland,929
2013,-,-,-,-,URY,Uruguay,21
2013,-,-,-,-,NOR,Norway,1199
2014,-,-,-,-,ESP,Spain,202
